sentence,keyWords,snrDb,listId
The football player lost a shoe.,4,21,9A
The painter used a brush.,3,18,9A
The lady sat on her chair.,3,15,9A
The milkman brought the cream.,3,12,9A
The dog chased the cat.,3,9,9A
Mother shut the window.,3,6,9A
The apple pie was good.,3,3,9A
Rain falls from the clouds.,3,0,9A
They carried some shopping bags.,4,21,9B
They laughed at his story.,3,18,9B
The small boy was asleep.,3,15,9B
The sun melted the snow.,3,12,9B
The truck drove up the road.,3,9,9B
The children dropped the bag.,3,6,9B
The dog came back.,3,3,9B
She found her purse.,3,0,9B
She looked in her mirror.,4,21,10A
The dog is eating some meat.,3,18,10A
A boy broke the fence.,3,15,10A
The yellow pears tasted good.,3,12,10A
The lady washed the shirt.,3,9,10A
The cup is hanging on a hook.,3,6,10A
The family likes fish.,3,3,10A
The baby is on the rug.,3,0,10A
They waited for one hour.,4,21,10B
The fruit is on the ground.,3,18,10B
The girl has a picture book.,3,15,10B
The jug is on the shelf.,3,12,10B
They are shopping for cheese.,3,9,10B
The bus stopped suddenly.,3,6,10B
The three girls are listening.,3,3,10B
The coat is on a chair.,3,0,10B
Father paid at the gate.,4,21,11A
A girl came into the room.,3,18,11A
The cat caught a mouse.,3,15,11A
She made her bed.,3,12,11A
Bananas are yellow fruit.,3,9,11A
The coffee cups are on the table.,3,6,11A
The basketball team is playing.,3,3,11A
Father picked some pears.,3,0,11A
She spoke to her son.,4,21,11B
The clown had a funny face.,3,18,11B
She cut with her knife.,3,15,11B
The house had nine rooms.,3,12,11B
The mailman shut the gate.,3,9,11B
The rain came down.,3,6,11B
The old gloves are dirty.,3,3,11B
The boy knew the game.,3,0,11B
They heard a funny noise.,4,21,12A
Snow falls at Christmas.,3,18,12A
She is taking her coat.,3,15,12A
The police chased the car.,3,12,12A
The lady is making a toy.,3,9,12A
Some sticks were under the tree.,3,6,12A
The little baby is sleeping.,3,3,12A
School finished early today.,3,0,12A
They walked across the grass.,4,21,12B
The children are all eating.,3,18,12B
The angry man shouted.,3,15,12B
They are drinking tea.,3,12,12B
Mother opened the drawer.,3,9,12B
He dropped his money.,3,6,12B
The kitchen window was clean.,3,3,12B
She is helping her friend.,3,0,12B
