sentence,keyWords,listId
I could hear another conversation through the cordless phone.,9,1
She relied on him for transportation.,6,1
He was an ordinary person who did extraordinary things.,9,1
How long has this been going on?,7,1
His class was on Saturday.,5,1
She was entitled to a bit of luxury occasionally.,9,1
The vacation was cancelled on account of weather.,8,1
The salon is not open on Mondays.,7,1
She had a way to justify any of her wrongdoing.,10,1
I feel sorry for my brother.,6,1
On numerous occasions they left early.,6,1
In private she let her hair down.,7,1
A mother always has something better to do.,8,1
You should be used to taking money from ladies.,9,1
Who would lie about cancer for attention?,7,1
Hang the air freshener from your rearview mirror.,8,1
You can use your computer to make greeting cards.,9,1
I guess you know what you're doing.,7,1
You must live in a gingerbread house!,7,1
The cat was born with six toes.,7,1
He tried to convince her she was not right.,9,2
He was a very dedicated person.,6,2
You smell like fresh lemons.,5,2
There are several types of tuxedos.,6,2
My life will start at thirty.,6,2
The post office handles the snail mail.,7,2
Self appraisal often underestimates good qualities.,6,2
He goes out of his way for you.,8,2
There's a fruit fly in the kitchen.,7,2
Every crime has a suspect.,5,2
The child apparently was not sleepy.,6,2
Nothing tastes sweeter than self-discipline.,6,2
They acted as if nothing had happened.,7,2
I am concerned about your fever.,6,2
I hope they catch that most wanted criminal.,8,2
Empathy means you feel what another person feels.,8,2
The golf cart driver lost control.,6,2
Do you want a piece of me?,7,2
I could spend hours in the card shop.,8,2
She did not like to fly in planes.,8,2
How many times have you given this lecture?,8,3
The little girl mistreated the pet cat.,7,3
I never knew Timbuktu was a real place.,8,3
I am craving chocolate chip cookies.,6,3
Let's do something we have never done.,7,3
She made her own business cards on the computer.,9,3
The dog's paws were frostbitten.,5,3
Do you still have the lizard?,6,3
He works four ten-hour shifts.,6,3
This is my favorite song.,5,3
Meditation brings a higher level of awareness.,7,3
Could you make the shake thicker please?,7,3
He put a horse's head in their bed.,8,3
Have a nice lunch.,4,3
Her fake nails were unnaturally thick.,6,3
She was top banana in the shock department.,8,3
You can rest assured.,4,3
The puppies will train to be Seeing Eye dogs.,9,3
If I had a gold star you'd be wearing it.,10,3
She wanted to follow in his footsteps.,7,3
