sentence,choice1,choice2,choice3,choice4,category
The dog is running in the park,The dog is running in the park,The cat is walking in the yard,The bird is flying in the sky,The fish is swimming in the pond,sentencesInNoise
Please turn off the lights before leaving,Please turn off the lights before leaving,Please turn on the radio before sleeping,Please close the door after entering,Please open the window when arriving,sentencesInNoise
The weather forecast predicts rain tomorrow,The weather forecast predicts rain tomorrow,The news report announces snow yesterday,The radio station plays music tonight,The television shows movies today,sentencesInNoise
I need to buy milk at the store,I need to buy milk at the store,You want to sell bread at the market,They have to return juice at the shop,We must exchange water at the stand,sentencesInNoise
The train departs at noon,The train departs at noon,The bus arrives at midnight,The taxi leaves at evening,The subway comes at morning,sentencesInNoise
She is reading a book on the couch,She is reading a book on the couch,He was writing a letter at the desk,They will be watching a movie in the theater,We are listening to music on the bed,sentencesInNoise
My phone battery is almost dead,My phone battery is almost dead,Your laptop charger is completely full,Their tablet power is partially alive,Our camera energy is nearly charged,sentencesInNoise
The baby is sleeping peacefully,The baby is sleeping peacefully,The toddler was crying loudly,The infant will be laughing quietly,The child is playing noisily,sentencesInNoise
Can you help me with my homework,Can you help me with my homework,Will they assist us with our project,Should I aid you with your assignment,Must we support them with their task,sentencesInNoise
The restaurant is always crowded on weekends,The restaurant is always crowded on weekends,The cafe was sometimes empty on weekdays,The diner will be rarely full on holidays,The bistro is often vacant on evenings,sentencesInNoise
I left my keys on the kitchen counter,I left my keys on the kitchen counter,You found your wallet in the bedroom closet,She placed her purse near the living room,He dropped his phone beside the bathroom sink,sentencesInNoise
The flowers in the garden are blooming,The flowers in the garden are blooming,The weeds in the yard were wilting,The plants in the greenhouse will be dying,The trees in the forest are growing,sentencesInNoise
Please wash your hands before dinner,Please wash your hands before dinner,Kindly dry your feet after shower,Simply clean your face during breakfast,Gently wipe your mouth throughout lunch,sentencesInNoise
The movie theater is showing a new film,The movie theater is showing a new film,The concert hall was presenting an old performance,The art gallery will be displaying a recent exhibition,The opera house is featuring a classic show,sentencesInNoise
I enjoy drinking coffee in the morning,I enjoy drinking coffee in the morning,You love sipping tea in the evening,They like tasting juice in the afternoon,We prefer consuming soda at night,sentencesInNoise
The children are playing in the backyard,The children are playing in the backyard,The adults were working in the office,The teenagers will be studying in the library,The seniors are resting in the bedroom,sentencesInNoise
My car needs an oil change,My car needs an oil change,Your truck requires a tire rotation,Their van wants a brake inspection,Our bus demands a battery replacement,sentencesInNoise
The concert begins at seven thirty,The concert begins at seven thirty,The show ends at eight fifteen,The performance starts at nine forty-five,The recital finishes at six twenty,sentencesInNoise
She teaches English at the high school,She teaches English at the high school,He learns Spanish at the college,They study French at the university,We practice German at the academy,sentencesInNoise
The package was delivered this morning,The package was delivered this morning,The letter will be sent this evening,The parcel is shipped this afternoon,The box was mailed this night,sentencesInNoise
I need to schedule a dentist appointment,I need to schedule a dentist appointment,You want to cancel a doctor visit,They have to confirm a therapist session,We must reschedule a specialist consultation,sentencesInNoise
The traffic light turned green,The traffic light turned green,The stop sign changed red,The pedestrian signal switched yellow,The crossing beacon flashed blue,sentencesInNoise
Please close the door quietly,Please close the door quietly,Kindly open the window loudly,Simply shut the gate softly,Gently raise the curtain noisily,sentencesInNoise
The airplane is flying above the clouds,The airplane is flying above the clouds,The helicopter was hovering below the sky,The jet will be soaring through the air,The drone is gliding beside the wind,sentencesInNoise
I forgot my lunch at home,I forgot my lunch at home,You remembered your dinner at work,They recalled their breakfast at school,We neglected our snack at gym,sentencesInNoise
The sun is shining brightly today,The sun is shining brightly today,The moon was glowing dimly yesterday,The stars will be twinkling faintly tomorrow,The clouds are floating darkly tonight,sentencesInNoise
She graduated with honors last year,She graduated with honors last year,He enrolled without distinction next month,They transferred with recognition this week,We dropped with merit that day,sentencesInNoise
The coffee shop opens early,The coffee shop opens early,The bakery closes late,The restaurant starts midday,The cafe ends midnight,sentencesInNoise
I can't find my reading glasses anywhere,I can't find my reading glasses anywhere,You won't locate your sunglasses somewhere,They shouldn't discover their safety goggles everywhere,We couldn't spot our contact lenses nowhere,sentencesInNoise
The dog is barking at the mailman,The dog is barking at the mailman,The cat was meowing at the neighbor,The bird will be chirping at the stranger,The cow is mooing at the visitor,sentencesInNoise
Please turn down the music,Please turn down the music,Kindly turn up the television,Simply lower the radio,Gently raise the speaker,sentencesInNoise
The library is closed for renovations,The library is closed for renovations,The museum was open for exhibitions,The gallery will be available for displays,The archive is accessible for research,sentencesInNoise
I need to buy new running shoes,I need to buy new running shoes,You want to sell old walking boots,They have to return used hiking sandals,We must exchange worn training slippers,sentencesInNoise
The teacher is explaining the math problem,The teacher is explaining the math problem,The instructor was demonstrating the science experiment,The professor will be showing the history lesson,The tutor is presenting the English assignment,sentencesInNoise
My sister lives in New York,My sister lives in New York,Your brother works in Los Angeles,Their cousin studies in Chicago,Our friend resides in Boston,sentencesInNoise
