sentence,choice1,choice2,choice3,choice4,category
Can you help me find my keys,Can you help me find my keys,Can you help me find my phone,Can you help me find my wallet,Can you help me find my glasses,sentenceComprehension
The meeting starts at three o'clock,The meeting starts at three o'clock,The movie begins at two thirty,The concert ends at four fifteen,The show opens at five forty,sentenceComprehension
I left my umbrella at the office,I left my umbrella at the office,You forgot your briefcase in the car,She dropped her backpack on the bus,He placed his jacket near the door,sentenceComprehension
Would you like some coffee or tea,Would you like some coffee or tea,Should I bring you water or juice,Can they offer us milk or soda,Will he serve them wine or beer,sentenceComprehension
The store closes in fifteen minutes,The store closes in fifteen minutes,The bank opens within twenty seconds,The mall shuts during thirty hours,The shop runs after forty days,sentenceComprehension
Please speak louder I cannot hear you,Please speak louder I cannot hear you,Kindly talk softer they will not listen,Simply say faster we could not understand,Gently whisper quieter he might not notice,sentenceComprehension
The appointment has been rescheduled to Friday,The appointment has been rescheduled to Friday,The reservation was cancelled until Monday,The booking got confirmed for Tuesday,The session is postponed since Wednesday,sentenceComprehension
Turn left at the next traffic light,Turn left at the next traffic light,Go right near the last stop sign,Drive straight past the first intersection,Move backward through the second crossing,sentenceComprehension
The temperature will drop below freezing tonight,The temperature will drop below freezing tonight,The humidity might rise above boiling tomorrow,The pressure could fall under normal yesterday,The weather should increase over average today,sentenceComprehension
I ordered pizza with extra cheese,I ordered pizza with extra cheese,You requested pasta without any sauce,They bought burgers including more pickles,We selected salad containing less dressing,sentenceComprehension
The flight departs from gate twelve,The flight departs from gate twelve,The journey arrives at terminal seven,The voyage leaves through section three,The trip boards via entrance nine,sentenceComprehension
Please remember to lock the door,Please remember to lock the door,Kindly forget to open the window,Simply recall to close the gate,Gently ignore to secure the entrance,sentenceComprehension
The computer needs to be restarted,The computer needs to be restarted,The printer wants to get replaced,The scanner requires being updated,The keyboard demands getting cleaned,sentenceComprehension
She graduated from college last spring,She graduated from college last spring,He enrolled in university next fall,They transferred to school this winter,We dropped from academy that summer,sentenceComprehension
The recipe calls for two cups of flour,The recipe calls for two cups of flour,The instructions need three spoons of sugar,The directions want four bowls of water,The guidelines require five pints of milk,sentenceComprehension
My alarm clock rings every morning at six,My alarm clock rings every morning at six,Your timer beeps each evening at eight,His reminder chimes every afternoon at two,Their notification sounds each midnight at twelve,sentenceComprehension
The game was postponed due to rain,The game was postponed due to rain,The match got cancelled because of snow,The competition is delayed owing to wind,The tournament was rescheduled from fog,sentenceComprehension
Could you pass me the salt please,Could you pass me the salt please,Would they hand us the pepper thanks,Should I give you the sugar okay,Might we share them the butter yes,sentenceComprehension
The bridge connects the two islands,The bridge connects the two islands,The tunnel links the three cities,The highway joins the four towns,The railway separates the five villages,sentenceComprehension
We need to buy groceries this afternoon,We need to buy groceries this afternoon,They want to sell furniture that morning,You have to return clothes next evening,I must exchange gifts last night,sentenceComprehension
The sun rises in the east,The sun rises in the east,The moon sets in the west,The stars appear in the south,The clouds move from the north,sentenceComprehension
